y,x,listing,parent_org,street,street2,hours,id,phone,website,description,hours,tags,ages,religious_organization
44.0489388,-123.0919415,Youth ERA: The Eugene Drop,Youth Era,965 Oak Alley,"Eugene, OR 97401",,0,(541) 556-9039,https://www.youthera.org/eugene-drop,"The all new Eugene Drop is staffed by Youth Peer Support Specialists who are committed to helping young adults empower themselves and successfully transition into adulthood. Our programs and services help youth and young adults become leaders in their own lives and communities. We provide opportunities to build leadership and advocacy skills through team-based learning and activities. Above all, The Eugene Drop is a safe space for young people to feel heard, supported, and capable of creating change.",,"peer support, leadership, advocacy, ",,FALSE
44.0522826,-123.107061,Looking Glass - New Roads,Looking Glass,941 W 7th Ave,"Eugene, OR 97402",,1,(541) 686-4310,https://www.lookingglass.us/new-roads,New Roads assists homeless youth up to 21 years of age who are interested in creating long-term solutions that improve the quality of their lives.,Monday 8:30-4:45 ~ Tuesday 8:30-6:45 ~ Wednesday 8:30-3:45 ~ Thursday 8:30-6:45 ~ Friday 8:30-4:45,"homeless youth, education, basic needs, food, clothing, showers, drop in, day program, GED,",,FALSE
43.798182,-123.0625847,Looking Glass - Rural Program,Looking Glass,508 E. Whiteaker Avenue,"Cottage Grove, OR 97424",,2,541-767-3823,https://www.lookingglass.us/ruralprogram,"Station 7 and its Rural Program component are in operation 24-hours-a-day to provide crisis intervention services for youth, ages 11-17, and their families.","24 hours a day, 7 days a week","crisis line, 24-hours, phone line, families, homeless youth, case management, mental health services, family counseling, emergency shelter, ongoing support, transitional housing",,FALSE
44.0506564,-123.1054591,Hosea Youth Services Project,,834 Monroe St,"Eugene, OR 97402",,3,(541) 344-5583,https://www.hoseayouth.org/,"At Hosea Youth Services Project (HYS), we understand that our vision to keep at-risk and homeless youth off the streets is lofty and may seem to be an unattainable goal, but it always keeps us pursuing more. The way we currently look to achieve our vision is through our mission of serving Lane County homeless and at-risk youth by helping them create and sustain healthy lives away from the streets.","Monday - Thursday, 1-6:30 PM","at-risk, homeless, employment training, hot meals, food, clothing, mentorship",16-24,TRUE
45.1407359,-122.8544969,CAPACES Leadership Institute,,356 Young St,"Woodburn, OR 97071",,4,,,,,,,
45.1408059,-122.8547872,PCUN,,300 Young St,"Woodburn, OR 97071",,5,(503) 902-0367,https://pcun.org/,"PCUN is focused on building a stronger voice for all Latinx working families in Oregon, from farmworkers to young folks, so that we can collectively improve their well-being and increase prosperity for all.",,"Latinx, Latino, Latina, farmworker, farmworkers, families, economic prosperity,",,FALSE
44.0631062,-121.3090869,Intensive Youth Services - The Drop,,,,,6,,,,,,,
45.5222703,-122.6796917,New Avenues for Youth Drop In,,314 SW 9th Ave,"Portland, OR 97205",,7,503.432.3986,https://newavenues.org/dropin,"New Avenues’ Drop-In Day Services Center is a safe space where youth experiencing homelessness can receive three meals a day, six days a week, as well as access to showers, laundry, clothing, drug and alcohol recovery and mental-health supports, computers and internet, free legal counsel, monthly veterinary clinics for those with pets, and engagement activities focused on skill-building, music and art, health and wellness, recreation, and self-empowerment.",,"food, hot meals, hygeine, shelter, overnight, legal assistance, temporary housing, transitional housing, drop-in, showers, computers, internet, recovery, education, job training, job placement, ",16-24,
44.0391365,-123.101,Sexual Assault Support Services,,,,,8,,,,,,,
44.046818,-123.0875039,White Bird Medical Clinic,,,,,9,,,,,,,
